provider_id,provider_name,provider_region,provider_network_status,provider_contract_type,provider_risk_tier,provider_group,provider_start_date
P1034,Dr. Richard Wilson,West,In-Network,Fee-for-Service,High,Academic,2/23/2022
P1035,Dr. Mary Brown,Northeast,In-Network,Capitated,Low,Group A,8/28/2016
P1036,Dr. John Taylor,Northeast,In-Network,Shared Savings,Medium,Group C,1/18/2023
P1037,Dr. Patricia Williams,South,Out-of-Network,Capitated,Low,Independent,4/6/2025
P1038,Dr. James Johnson,West,Out-of-Network,Capitated,Low,Group B,12/28/2021
P1039,Dr. David Jones,Northeast,Out-of-Network,Fee-for-Service,High,Independent,6/24/2021
P1040,Dr. John Davis,West,Out-of-Network,Fee-for-Service,Low,Group C,9/15/2024
P1041,Dr. David Williams,Northeast,Out-of-Network,Capitated,High,Group A,1/17/2017
P1042,Dr. Elizabeth Smith,West,In-Network,Fee-for-Service,Medium,Group A,11/7/2025
P1043,Dr. Linda Thomas,West,Out-of-Network,Value-Based,Low,Independent,8/19/2025
P1044,Dr. Linda Williams,West,In-Network,Value-Based,High,Academic,5/1/2025
P1045,Dr. Mary Williams,Northeast,Out-of-Network,Value-Based,Low,Independent,12/5/2021
P1046,Dr. Michael Jones,West,In-Network,Capitated,Medium,Group B,1/30/2026
P1047,Dr. James Jones,West,In-Network,Shared Savings,High,Independent,12/9/2017
P1048,Dr. Robert Williams,Northeast,Out-of-Network,Value-Based,High,Group A,8/2/2015
P1049,Dr. Mary Davis,Northeast,In-Network,Value-Based,Low,Group C,10/12/2022
P1050,Dr. Patricia Thomas,West,Out-of-Network,Fee-for-Service,Medium,Academic,3/9/2019
P1051,Dr. Susan Wilson,South,Out-of-Network,Capitated,Medium,Group B,2/6/2020
P1052,Dr. John Garcia,South,In-Network,Capitated,High,Group A,1/27/2017
P1053,Dr. William Taylor,South,Out-of-Network,Fee-for-Service,Medium,Independent,4/1/2020
P1054,Dr. Michael Williams,Northeast,In-Network,Value-Based,Medium,Group A,1/5/2015
P1055,Dr. Mary Anderson,Midwest,Out-of-Network,Fee-for-Service,High,Group A,6/15/2016
P1056,Dr. Robert Wilson,West,Out-of-Network,Shared Savings,High,Academic,8/25/2019
P1057,Dr. Linda Taylor,West,In-Network,Shared Savings,High,Group C,11/7/2025
P1058,Dr. William Williams,South,In-Network,Fee-for-Service,Low,Group B,3/10/2017
P1059,Dr. Jennifer Smith,South,In-Network,Value-Based,High,Group A,8/24/2022
P1060,Dr. John Wilson,West,In-Network,Fee-for-Service,Medium,Academic,10/7/2019
P1061,Dr. Jennifer Taylor,West,Out-of-Network,Fee-for-Service,High,Group C,7/2/2023
P1062,Dr. Susan Smith,West,Out-of-Network,Value-Based,Medium,Group B,1/23/2015
P1063,Dr. Patricia Miller,Midwest,Out-of-Network,Fee-for-Service,High,Independent,1/17/2023
P1064,Dr. John Brown,West,Out-of-Network,Value-Based,Low,Independent,11/24/2015
P1065,Dr. Mary Jones,West,In-Network,Value-Based,Medium,Independent,7/26/2025
P1066,Dr. Patricia Brown,West,In-Network,Capitated,Medium,Independent,1/31/2025
P1067,Dr. William Garcia,West,Out-of-Network,Value-Based,Low,Group C,11/22/2016
P1068,Dr. David Wilson,Northeast,In-Network,Shared Savings,High,Academic,9/30/2020
P1069,Dr. Mary Jones,Midwest,In-Network,Shared Savings,High,Independent,8/18/2023
P1070,Dr. Susan Taylor,South,Out-of-Network,Value-Based,Low,Group B,3/21/2019
P1071,Dr. Jennifer Brown,Midwest,In-Network,Capitated,Medium,Independent,8/31/2023
P1072,Dr. Michael Jones,South,In-Network,Capitated,Low,Group A,5/15/2015
P1073,Dr. James Miller,South,Out-of-Network,Capitated,Medium,Independent,8/9/2024
P1074,Dr. Richard Johnson,Midwest,Out-of-Network,Shared Savings,Medium,Academic,1/26/2025
P1075,Dr. David Wilson,Midwest,Out-of-Network,Fee-for-Service,Low,Group A,7/24/2016
P1076,Dr. Elizabeth Taylor,Midwest,In-Network,Value-Based,Medium,Group C,1/5/2017
P1077,Dr. David Davis,Northeast,In-Network,Shared Savings,Low,Group B,3/2/2021
P1078,Dr. Elizabeth Brown,Northeast,In-Network,Fee-for-Service,Low,Group C,8/3/2015
P1079,Dr. Michael Wilson,South,Out-of-Network,Capitated,Low,Group A,5/31/2022
P1080,Dr. Barbara Taylor,West,In-Network,Capitated,Low,Independent,7/26/2024
P1081,Dr. James Davis,Northeast,In-Network,Shared Savings,High,Independent,6/14/2017
P1082,Dr. Susan Brown,West,Out-of-Network,Shared Savings,Medium,Independent,7/19/2019
P1083,Dr. Elizabeth Johnson,Midwest,Out-of-Network,Shared Savings,Low,Group C,3/20/2021
P1084,Dr. William Williams,Midwest,Out-of-Network,Value-Based,High,Independent,7/28/2018
P1085,Dr. Robert Thomas,South,In-Network,Fee-for-Service,High,Group B,11/2/2022
P1086,Dr. Robert Anderson,Northeast,In-Network,Value-Based,High,Group B,9/7/2025
P1087,Dr. Elizabeth Brown,West,Out-of-Network,Value-Based,Medium,Group B,4/6/2025
P1088,Dr. William Johnson,Northeast,Out-of-Network,Shared Savings,Low,Group C,12/7/2017
P1089,Dr. Robert Johnson,Northeast,Out-of-Network,Capitated,Low,Group C,8/27/2019
P1090,Dr. Mary Thomas,Northeast,Out-of-Network,Shared Savings,Medium,Independent,12/17/2017
P1091,Dr. Linda Wilson,Midwest,In-Network,Shared Savings,Medium,Academic,9/28/2017
P1092,Dr. James Taylor,West,In-Network,Shared Savings,High,Independent,6/9/2023
P1093,Dr. James Anderson,Northeast,In-Network,Capitated,High,Independent,2/8/2022
P1094,Dr. Barbara Taylor,South,In-Network,Capitated,High,Group A,9/6/2023
P1095,Dr. Linda Brown,West,In-Network,Value-Based,Medium,Group A,10/30/2021
P1096,Dr. Michael Johnson,South,In-Network,Capitated,High,Independent,6/23/2021
P1097,Dr. David Smith,South,In-Network,Value-Based,Low,Independent,12/8/2025
P1098,Dr. James Miller,Midwest,Out-of-Network,Shared Savings,Medium,Academic,1/29/2016
P1099,Dr. William Johnson,West,Out-of-Network,Fee-for-Service,Medium,Group C,6/28/2016
P1100,Dr. Barbara Jones,West,Out-of-Network,Capitated,Medium,Academic,8/16/2021
P1101,Dr. Elizabeth Jones,Midwest,In-Network,Shared Savings,High,Group A,2/9/2026
P1102,Dr. John Anderson,South,Out-of-Network,Capitated,Low,Independent,1/20/2022
P1103,Dr. Patricia Jones,West,In-Network,Value-Based,Medium,Group A,9/29/2015
P1104,Dr. Mary Garcia,Midwest,In-Network,Shared Savings,Low,Group B,10/23/2016
P1105,Dr. Michael Miller,Northeast,In-Network,Value-Based,Low,Academic,10/22/2016
P1106,Dr. David Taylor,South,In-Network,Fee-for-Service,Low,Group C,6/11/2022
P1107,Dr. James Smith,Midwest,In-Network,Value-Based,Medium,Independent,1/19/2022
P1108,Dr. Linda Taylor,South,In-Network,Value-Based,Medium,Group B,3/9/2020
P1109,Dr. Susan Jones,South,In-Network,Shared Savings,High,Academic,3/24/2025
P1110,Dr. Linda Wilson,South,Out-of-Network,Value-Based,Low,Independent,11/4/2018
P1111,Dr. Mary Taylor,Midwest,In-Network,Capitated,Low,Group C,3/29/2024
P1112,Dr. Mary Thomas,Midwest,Out-of-Network,Value-Based,High,Group A,12/13/2022
P1113,Dr. Jennifer Smith,West,In-Network,Fee-for-Service,Low,Group C,6/8/2021
P1114,Dr. James Taylor,West,Out-of-Network,Shared Savings,Low,Group B,3/14/2024
P1115,Dr. Jennifer Williams,South,In-Network,Capitated,Medium,Group C,11/3/2017
P1116,Dr. John Jones,South,Out-of-Network,Value-Based,High,Group B,12/2/2023
P1117,Dr. Barbara Garcia,Midwest,In-Network,Value-Based,High,Academic,1/16/2015
P1118,Dr. Robert Garcia,West,In-Network,Capitated,Low,Group B,1/23/2015
P1119,Dr. Elizabeth Smith,West,Out-of-Network,Capitated,High,Academic,4/24/2022
P1120,Dr. Susan Jones,Northeast,Out-of-Network,Fee-for-Service,Low,Group B,12/13/2017
P1121,Dr. Jennifer Thomas,West,Out-of-Network,Value-Based,Medium,Group B,6/6/2023
P1122,Dr. David Thomas,West,Out-of-Network,Value-Based,High,Group A,12/10/2017
P1123,Dr. Mary Johnson,Northeast,In-Network,Shared Savings,High,Group C,11/16/2021
P1124,Dr. Robert Garcia,Northeast,Out-of-Network,Value-Based,High,Group A,1/8/2017
P1125,Dr. Michael Anderson,Northeast,Out-of-Network,Fee-for-Service,High,Academic,10/3/2017
P1126,Dr. Elizabeth Brown,West,In-Network,Value-Based,High,Group A,3/24/2025
P1127,Dr. Patricia Williams,West,Out-of-Network,Capitated,Medium,Academic,9/16/2022
P1128,Dr. James Jones,Midwest,Out-of-Network,Capitated,Medium,Group C,8/4/2017
P1129,Dr. Mary Davis,Northeast,In-Network,Capitated,High,Group B,5/7/2020
P1130,Dr. Richard Wilson,Midwest,Out-of-Network,Fee-for-Service,High,Independent,6/24/2019
P1131,Dr. Linda Brown,West,Out-of-Network,Value-Based,Low,Group A,8/2/2016
P1132,Dr. John Anderson,West,Out-of-Network,Fee-for-Service,Medium,Academic,6/11/2018
P1133,Dr. Susan Williams,Midwest,In-Network,Shared Savings,Medium,Group A,12/23/2022
P1134,Dr. Mary Jones,Northeast,In-Network,Shared Savings,Medium,Independent,8/31/2019
P1135,Dr. Linda Smith,West,Out-of-Network,Capitated,High,Independent,9/4/2019
P1136,Dr. Jennifer Davis,Midwest,In-Network,Capitated,Low,Independent,10/1/2024
P1137,Dr. Elizabeth Brown,West,In-Network,Value-Based,Low,Group C,1/3/2018
P1138,Dr. Richard Williams,Northeast,In-Network,Capitated,Low,Group C,10/11/2025
P1139,Dr. Robert Anderson,West,Out-of-Network,Fee-for-Service,Low,Group B,4/4/2023
P1140,Dr. James Taylor,West,In-Network,Capitated,Low,Group A,3/25/2017
P1141,Dr. Robert Smith,South,In-Network,Fee-for-Service,Medium,Group B,9/11/2021
P1142,Dr. Patricia Smith,Midwest,Out-of-Network,Shared Savings,Medium,Group B,3/24/2022
P1143,Dr. James Anderson,West,Out-of-Network,Shared Savings,High,Group A,11/10/2024
P1144,Dr. William Smith,South,Out-of-Network,Shared Savings,Medium,Academic,6/5/2021
P1145,Dr. Michael Garcia,Northeast,In-Network,Value-Based,High,Group A,9/4/2025
P1146,Dr. David Jones,South,In-Network,Fee-for-Service,Low,Group C,4/26/2019
P1147,Dr. Jennifer Miller,Midwest,Out-of-Network,Capitated,Medium,Group A,2/25/2018
P1148,Dr. William Johnson,Northeast,Out-of-Network,Capitated,High,Academic,7/30/2021
P1149,Dr. Linda Anderson,Northeast,In-Network,Value-Based,High,Independent,5/3/2020
P1150,Dr. Mary Miller,Northeast,Out-of-Network,Fee-for-Service,High,Group A,10/19/2025
P1151,Dr. Robert Williams,Northeast,In-Network,Value-Based,Low,Academic,10/19/2017
P1152,Dr. Patricia Williams,South,In-Network,Shared Savings,High,Academic,7/29/2023
P1153,Dr. Elizabeth Thomas,South,Out-of-Network,Value-Based,Low,Independent,1/22/2024
P1154,Dr. Susan Taylor,Midwest,Out-of-Network,Shared Savings,Medium,Group C,12/28/2016
P1155,Dr. John Brown,Midwest,Out-of-Network,Fee-for-Service,Low,Group C,5/15/2024
P1156,Dr. James Taylor,Northeast,In-Network,Fee-for-Service,Medium,Group A,1/15/2026
P1157,Dr. Linda Johnson,Midwest,In-Network,Fee-for-Service,Low,Group A,1/15/2016
P1158,Dr. William Miller,South,In-Network,Capitated,High,Group C,10/29/2019
P1159,Dr. John Jones,Northeast,Out-of-Network,Value-Based,Low,Group B,8/3/2023
P1160,Dr. Mary Wilson,West,Out-of-Network,Shared Savings,Low,Independent,7/8/2018
P1161,Dr. Michael Davis,Midwest,Out-of-Network,Value-Based,High,Independent,4/27/2020
P1162,Dr. Elizabeth Davis,Midwest,Out-of-Network,Fee-for-Service,Medium,Group B,4/9/2018
P1163,Dr. Mary Davis,South,Out-of-Network,Fee-for-Service,Medium,Independent,3/6/2018
P1164,Dr. Patricia Taylor,Northeast,Out-of-Network,Fee-for-Service,Medium,Group B,7/28/2025
P1165,Dr. David Jones,West,Out-of-Network,Shared Savings,Low,Group A,9/26/2021
P1166,Dr. Richard Garcia,Midwest,Out-of-Network,Shared Savings,High,Independent,1/26/2025
P1167,Dr. Susan Garcia,South,Out-of-Network,Value-Based,Low,Independent,5/16/2024
P1168,Dr. Elizabeth Anderson,Northeast,Out-of-Network,Fee-for-Service,Low,Group C,3/4/2022
P1169,Dr. John Smith,Northeast,In-Network,Shared Savings,Medium,Group B,8/30/2021
P1170,Dr. Michael Smith,South,Out-of-Network,Fee-for-Service,Medium,Academic,7/25/2025
P1171,Dr. Linda Miller,Midwest,In-Network,Capitated,Low,Independent,7/20/2015
P1172,Dr. David Jones,Midwest,Out-of-Network,Capitated,Low,Academic,11/24/2024
P1173,Dr. Barbara Smith,Midwest,Out-of-Network,Shared Savings,High,Group A,8/6/2025
P1174,Dr. Richard Miller,Northeast,In-Network,Value-Based,High,Group A,9/26/2023
P1175,Dr. James Taylor,Midwest,Out-of-Network,Value-Based,Medium,Group C,12/5/2023
P1176,Dr. Patricia Jones,South,Out-of-Network,Value-Based,Low,Group A,10/30/2023
P1177,Dr. Linda Miller,West,Out-of-Network,Capitated,High,Independent,10/21/2024
P1178,Dr. Mary Miller,Northeast,In-Network,Capitated,High,Group B,10/10/2022
P1179,Dr. Robert Wilson,Midwest,In-Network,Shared Savings,Medium,Group B,3/31/2020
P1180,Dr. Linda Anderson,Northeast,Out-of-Network,Shared Savings,Low,Group C,1/20/2021
P1181,Dr. John Johnson,West,In-Network,Value-Based,Medium,Group A,3/5/2025
P1182,Dr. Michael Taylor,South,In-Network,Capitated,Medium,Academic,6/1/2015
P1183,Dr. Jennifer Miller,West,Out-of-Network,Capitated,Low,Independent,6/27/2024
P1184,Dr. David Miller,Midwest,Out-of-Network,Shared Savings,Medium,Group B,9/24/2017
P1185,Dr. Elizabeth Thomas,West,Out-of-Network,Capitated,Low,Academic,7/5/2022
P1186,Dr. Robert Jones,South,Out-of-Network,Value-Based,Low,Independent,7/5/2024
P1187,Dr. Richard Thomas,South,In-Network,Fee-for-Service,Medium,Independent,8/9/2019
P1188,Dr. Elizabeth Jones,West,In-Network,Capitated,Low,Group C,5/2/2016
P1189,Dr. Barbara Wilson,West,Out-of-Network,Shared Savings,Medium,Independent,4/13/2015
P1190,Dr. Barbara Smith,Midwest,Out-of-Network,Value-Based,Medium,Academic,1/11/2024
P1191,Dr. David Williams,Midwest,In-Network,Value-Based,Medium,Group C,8/17/2025
P1192,Dr. Linda Johnson,Midwest,In-Network,Shared Savings,High,Group C,1/16/2021
P1193,Dr. Patricia Williams,Midwest,In-Network,Value-Based,High,Academic,2/9/2020
P1194,Dr. Richard Garcia,Midwest,In-Network,Capitated,High,Independent,4/20/2017
P1195,Dr. John Williams,Midwest,Out-of-Network,Shared Savings,Low,Group B,2/1/2020
P1196,Dr. William Jones,West,Out-of-Network,Fee-for-Service,Medium,Group C,2/27/2023
P1197,Dr. John Taylor,Northeast,In-Network,Fee-for-Service,Low,Group A,9/11/2020
P1198,Dr. Robert Wilson,Northeast,Out-of-Network,Value-Based,High,Academic,9/2/2025
P1199,Dr. James Thomas,West,In-Network,Fee-for-Service,Medium,Independent,9/15/2016
P1200,Dr. Robert Thomas,South,In-Network,Capitated,Medium,Independent,3/10/2021
P1201,Dr. Mary Davis,Northeast,In-Network,Shared Savings,Low,Group A,12/7/2018
P1202,Dr. John Wilson,South,Out-of-Network,Capitated,High,Academic,12/29/2025
P1203,Dr. Michael Miller,West,Out-of-Network,Value-Based,Low,Independent,9/2/2016
P1204,Dr. Elizabeth Taylor,Midwest,Out-of-Network,Capitated,High,Group B,5/5/2020
P1205,Dr. William Johnson,South,In-Network,Shared Savings,Medium,Group A,8/20/2024
P1206,Dr. Michael Smith,Midwest,In-Network,Shared Savings,Medium,Independent,1/24/2021
P1207,Dr. Richard Anderson,South,Out-of-Network,Value-Based,Low,Group C,7/27/2021
P1208,Dr. David Davis,Northeast,Out-of-Network,Value-Based,Low,Group A,1/23/2022
P1209,Dr. Jennifer Johnson,Midwest,Out-of-Network,Value-Based,Medium,Group A,7/27/2021
P1210,Dr. Susan Anderson,South,In-Network,Fee-for-Service,High,Group C,11/28/2015
P1211,Dr. Mary Jones,Midwest,In-Network,Value-Based,Low,Group C,8/22/2023
P1212,Dr. William Davis,South,In-Network,Value-Based,High,Group C,12/23/2024
P1213,Dr. Robert Miller,Midwest,Out-of-Network,Shared Savings,Low,Independent,2/25/2023
P1214,Dr. Jennifer Smith,West,In-Network,Value-Based,Low,Independent,7/13/2024
P1215,Dr. Patricia Davis,West,In-Network,Capitated,Medium,Independent,12/14/2025
P1216,Dr. William Davis,Northeast,Out-of-Network,Shared Savings,Low,Academic,6/29/2020
P1217,Dr. Elizabeth Johnson,West,Out-of-Network,Capitated,High,Group A,1/16/2016
P1218,Dr. Patricia Taylor,Northeast,Out-of-Network,Fee-for-Service,Low,Academic,10/12/2019
P1219,Dr. Patricia Anderson,West,Out-of-Network,Fee-for-Service,Medium,Independent,11/25/2017
P1220,Dr. David Thomas,West,In-Network,Fee-for-Service,High,Independent,12/21/2021
P1221,Dr. Elizabeth Anderson,Midwest,In-Network,Fee-for-Service,Medium,Group B,8/26/2015
P1222,Dr. Linda Taylor,West,In-Network,Value-Based,Medium,Group C,12/30/2018
P1223,Dr. Richard Wilson,Northeast,In-Network,Shared Savings,High,Academic,1/13/2019
P1224,Dr. Robert Garcia,West,In-Network,Fee-for-Service,High,Academic,7/1/2016
P1225,Dr. Michael Thomas,Midwest,Out-of-Network,Value-Based,High,Group C,2/18/2024
P1226,Dr. Linda Taylor,Midwest,In-Network,Capitated,Low,Independent,8/29/2015
P1227,Dr. James Thomas,Northeast,In-Network,Value-Based,Medium,Group C,4/30/2019
P1228,Dr. David Anderson,Midwest,Out-of-Network,Shared Savings,Medium,Independent,6/17/2023
P1229,Dr. Mary Davis,West,In-Network,Value-Based,Medium,Group A,8/31/2018
P1230,Dr. Michael Garcia,Midwest,Out-of-Network,Value-Based,High,Academic,1/3/2017
P1231,Dr. Jennifer Wilson,West,In-Network,Capitated,Low,Independent,12/2/2025
P1232,Dr. John Thomas,Midwest,Out-of-Network,Fee-for-Service,Medium,Group C,3/9/2018
P1233,Dr. Mary Taylor,South,In-Network,Fee-for-Service,Medium,Independent,12/15/2019
P1234,Dr. William Brown,Midwest,In-Network,Shared Savings,Medium,Group B,2/14/2019
P1235,Dr. James Miller,Northeast,In-Network,Capitated,Medium,Group C,7/26/2025
P1236,Dr. David Brown,Northeast,Out-of-Network,Capitated,Low,Group C,9/27/2023
P1237,Dr. Robert Taylor,South,In-Network,Shared Savings,High,Group C,3/17/2024
P1238,Dr. James Miller,West,Out-of-Network,Value-Based,High,Independent,3/12/2020
P1239,Dr. John Taylor,West,In-Network,Shared Savings,High,Academic,8/1/2015
P1240,Dr. Elizabeth Garcia,West,In-Network,Value-Based,Low,Group B,8/31/2024
P1241,Dr. Mary Wilson,South,In-Network,Fee-for-Service,Medium,Independent,8/22/2019
P1242,Dr. Richard Jones,Midwest,In-Network,Capitated,Low,Group C,7/18/2024
P1243,Dr. Elizabeth Wilson,West,Out-of-Network,Value-Based,High,Independent,3/23/2022
P1244,Dr. Michael Williams,West,Out-of-Network,Value-Based,Medium,Group C,5/29/2025
P1245,Dr. Robert Williams,South,In-Network,Capitated,Low,Group C,9/2/2020
P1246,Dr. Richard Anderson,Northeast,In-Network,Capitated,Medium,Group C,7/9/2017
P1247,Dr. Susan Smith,West,Out-of-Network,Shared Savings,Low,Academic,5/16/2018
P1248,Dr. John Davis,Northeast,Out-of-Network,Value-Based,Medium,Group A,6/3/2025
P1249,Dr. John Smith,South,Out-of-Network,Fee-for-Service,Medium,Independent,10/19/2024
P1250,Dr. David Thomas,South,Out-of-Network,Fee-for-Service,Medium,Group B,2/12/2024
P1251,Dr. Mary Jones,Northeast,In-Network,Shared Savings,High,Independent,2/15/2018
P1252,Dr. Mary Jones,Northeast,Out-of-Network,Fee-for-Service,High,Group A,8/2/2023
P1253,Dr. Mary Garcia,West,Out-of-Network,Capitated,Low,Group A,6/6/2018
P1254,Dr. Elizabeth Smith,Northeast,In-Network,Value-Based,Medium,Group C,2/24/2016
P1255,Dr. Robert Wilson,South,Out-of-Network,Capitated,High,Group C,6/26/2023
P1256,Dr. Michael Anderson,West,In-Network,Capitated,High,Group C,3/12/2026
P1257,Dr. Robert Anderson,West,Out-of-Network,Shared Savings,Medium,Academic,9/13/2021
P1258,Dr. James Williams,Northeast,Out-of-Network,Capitated,Medium,Academic,3/8/2021
P1259,Dr. William Brown,Midwest,In-Network,Fee-for-Service,Low,Academic,2/8/2025
P1260,Dr. Susan Wilson,South,Out-of-Network,Capitated,High,Group B,12/25/2017
P1261,Dr. Robert Williams,West,Out-of-Network,Value-Based,High,Group B,9/27/2019
P1262,Dr. Jennifer Johnson,South,Out-of-Network,Fee-for-Service,High,Group A,8/24/2018
P1263,Dr. James Johnson,West,Out-of-Network,Shared Savings,Medium,Group A,3/22/2015
P1264,Dr. Jennifer Johnson,Northeast,Out-of-Network,Fee-for-Service,Medium,Independent,9/13/2020
P1265,Dr. Elizabeth Brown,Northeast,Out-of-Network,Fee-for-Service,Low,Group A,12/14/2025
P1266,Dr. Linda Smith,Midwest,In-Network,Shared Savings,Medium,Academic,4/13/2025
P1267,Dr. Jennifer Davis,Northeast,In-Network,Shared Savings,High,Academic,8/25/2018
P1268,Dr. Susan Thomas,South,In-Network,Fee-for-Service,High,Independent,6/17/2018
P1269,Dr. David Taylor,West,In-Network,Shared Savings,Medium,Group A,6/12/2024
P1270,Dr. William Anderson,West,In-Network,Fee-for-Service,Medium,Group A,4/30/2021
P1271,Dr. John Brown,Midwest,Out-of-Network,Shared Savings,Medium,Group B,10/4/2019
P1272,Dr. Barbara Johnson,West,In-Network,Shared Savings,Medium,Independent,11/8/2019
P1273,Dr. Patricia Smith,South,Out-of-Network,Shared Savings,High,Independent,5/15/2017
P1274,Dr. Barbara Brown,Midwest,In-Network,Fee-for-Service,High,Group A,12/17/2015
P1275,Dr. Linda Davis,West,Out-of-Network,Capitated,Medium,Group A,2/28/2025
P1276,Dr. Robert Wilson,Midwest,Out-of-Network,Shared Savings,Medium,Group B,5/17/2022
P1277,Dr. Patricia Brown,Northeast,Out-of-Network,Capitated,High,Group B,7/25/2025
P1278,Dr. David Miller,Midwest,Out-of-Network,Shared Savings,Medium,Group A,2/27/2023
P1279,Dr. Jennifer Williams,West,Out-of-Network,Shared Savings,High,Group B,8/20/2020
P1280,Dr. Jennifer Wilson,Midwest,In-Network,Value-Based,High,Independent,7/6/2023
P1281,Dr. Elizabeth Miller,South,Out-of-Network,Fee-for-Service,Medium,Group A,3/19/2020
P1282,Dr. Linda Davis,South,In-Network,Fee-for-Service,Medium,Academic,11/14/2017
P1283,Dr. David Williams,South,Out-of-Network,Capitated,Low,Group C,3/8/2023
P1284,Dr. Susan Jones,West,In-Network,Value-Based,Low,Group C,1/9/2024
P1285,Dr. Barbara Garcia,Northeast,Out-of-Network,Fee-for-Service,Low,Group C,11/3/2020
P1286,Dr. Mary Jones,Midwest,Out-of-Network,Fee-for-Service,Low,Academic,6/15/2023
P1287,Dr. Mary Wilson,West,In-Network,Value-Based,Medium,Group B,4/7/2024
P1288,Dr. Linda Davis,Midwest,Out-of-Network,Fee-for-Service,High,Group B,5/18/2024
P1289,Dr. Richard Anderson,Northeast,Out-of-Network,Shared Savings,Medium,Independent,11/14/2022
P1290,Dr. Michael Johnson,Midwest,In-Network,Capitated,Low,Academic,7/6/2017
P1291,Dr. Mary Anderson,Midwest,In-Network,Fee-for-Service,Medium,Group A,4/19/2016
P1292,Dr. Michael Taylor,South,Out-of-Network,Shared Savings,High,Academic,8/6/2017
P1293,Dr. Patricia Miller,Midwest,In-Network,Fee-for-Service,High,Independent,1/15/2020
P1294,Dr. Richard Brown,South,In-Network,Capitated,High,Group C,8/16/2016
P1295,Dr. William Garcia,South,Out-of-Network,Shared Savings,High,Group B,12/16/2020
P1296,Dr. Mary Johnson,Midwest,In-Network,Capitated,High,Academic,2/11/2021
P1297,Dr. John Johnson,Northeast,In-Network,Value-Based,Medium,Group A,1/15/2016
P1298,Dr. Jennifer Garcia,West,In-Network,Value-Based,High,Group A,4/13/2024
P1299,Dr. William Wilson,Midwest,Out-of-Network,Value-Based,Low,Academic,1/20/2018
P1300,Dr. Mary Wilson,South,In-Network,Capitated,Medium,Group C,6/24/2022
